"timestamp","x.7874","x.7877","x.7878","x.7879","x.7880","y.7874","y.7877","y.7878","y.7879","y.7880"
"4/21/88",61798.26152,98266.00429,9783.528292,65982.41198,9373.317462,33636.46531,-14844.52271,-77780.85119,46757.46665,6949.682915
"4/22/88",57819.21647,94286.95924,9701.486126,64915.86382,10398.84454,39196.21164,-8951.191595,-79782.35987,49870.9246,7283.267695
"4/23/88",46538.41865,88831.1552,6378.778404,64136.46325,11014.16078,42865.64422,-8728.801742,-77336.07148,50315.70431,7839.242328
"4/24/88",46743.52406,85713.5529,7527.368728,61100.90311,12778.06735,43421.61885,-3836.224969,-78559.21567,56097.84049,6171.318429
"4/25/88",46046.16565,75868.49298,8306.769304,57244.9213,13434.40468,52317.21299,10396.72564,-78559.21567,61657.58682,6838.487989
"4/26/88",39851.98212,64710.75841,6542.862736,47851.0933,10439.86562,67662.11286,24407.2864,-78559.21567,59211.29844,6838.487989
"4/27/88",39810.96104,52486.47568,6994.094649,47481.90355,11793.56136,70886.76574,35971.55877,-78336.82582,70441.98603,7728.047402
"4/28/88",41328.74111,45800.03915,12162.7511,44528.38558,11752.54028,73221.8592,39752.18628,-79226.38523,74111.41861,6727.293062
"4/29/88",41944.05735,46743.52406,10234.7602,45061.65966,12244.79327,75668.14758,42754.44929,-78559.21567,76557.70699,6393.708282
"4/30/88",40672.40378,43256.73201,21105.3472,41862.01519,10111.69696,76335.31714,43310.42393,-60212.05278,74222.61354,7283.267695
"5/1/88",44323.28016,38457.2653,47030.67164,44774.51208,12244.79327,75779.34251,51094.06879,-31857.34648,75445.75773,7394.462622
"5/2/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/3/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/4/88",37308.67497,20325.94662,53594.04492,30991.42819,12613.98302,79115.19031,69774.81647,4169.809749,97239.96335,6282.513355
"5/5/88",37103.56956,18890.20871,50599.50586,24797.24466,13557.46793,79115.19031,74445.00339,13843.76837,102243.735,5837.733649
"5/6/88",29432.62704,22664.14835,39893.0032,25125.41333,14993.20583,83785.37723,75445.75773,21182.63353,99908.64159,6393.708282
"5/7/88",35462.72624,18233.87139,37390.71714,30663.25953,14911.16366,81561.47869,74000.22368,20515.46397,105801.9727,4948.174236
"5/8/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/9/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/10/88",28284.03672,14295.84742,15157.29016,22089.85319,20366.9677,90234.68297,73333.05412,47091.05143,118478.1943,5170.564089
"5/11/88",24674.18142,6912.052483,8388.81147,21638.62127,15280.35341,92013.8018,70775.57081,62435.95131,119034.169,5837.733649
"5/12/88",22377.00077,6337.757321,-5927.546491,19013.27196,10111.69696,90012.29312,89789.90327,67550.91794,122481.2117,7172.072769
"5/13/88",23115.38026,-3056.070682,-5271.209164,13065.21493,7814.516309,86231.66561,92458.5815,67773.30779,126373.0341,7728.047402
"5/14/88",22951.29593,-7732.474143,-8593.916885,4450.787504,7937.579557,86454.05547,108915.4306,68996.45198,135157.4333,7283.267695
"5/15/88",22869.25376,-26520.13015,-8963.106632,512.7635373,10193.73912,88455.56415,121925.2371,67328.52808,133155.9247,7839.242328
"5/16/88",24674.18142,-41492.82544,-11096.20295,-20490.03095,6296.736238,94348.89526,118589.3893,67995.69764,136714.1623,13287.79373
"5/17/88",23648.65434,-51584.01185,-14459.93175,-42108.14168,22828.23268,94460.09018,120034.9233,68996.45198,128152.153,27631.93927
"5/18/88",18233.87139,-60034.35495,-16675.07023,-51871.15943,25904.8139,99352.66696,119145.3639,76891.29177,129264.1022,35193.19428
"5/19/88",15690.56424,-60034.35495,-23320.48568,-54127.319,37185.61173,111361.719,119812.5335,103355.6843,128263.3479,41531.3051
"5/20/88",6296.736238,-72545.78526,-34109.0305,-56096.33098,43174.68984,119367.7538,113808.0074,118255.8045,128930.5174,58544.12888
